rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b|A00|Anderssen's Opening|
rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b|A00|Crab Opening|
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b|A00|Ware (Meadow Hay) Opening|
rnbqkbnr/pppp1ppp/8/8/3PPp2/8/PPP3PP/RNBQKBNR b|C33|KGA|Villemson (Steinitz) gambit|
rnbqkbnr/pppp1ppp/8/8/4Pp1P/8/PPPP2P1/RNBQKBNR b|C33|KGA|Pawn's gambit (Stamma gambit)|
rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP1KPP/RNBQ1BNR b|C33|KGA|Tumbleweed gambit|
rnbqkbnr/pppp1ppp/8/8/4Pp2/2N5/PPPP2PP/R1BQKBNR b|C33|KGA|Keres (Mason-Steinitz) gambit|
rnbqk1nr/pppp1ppp/8/8/2B1P2b/5N2/PPPP3p/RNBQ1R1K b|C35|KGA|Cunningham, Three pawns gambit|
rnbqk1nr/pppp1ppp/8/8/2B1Pp1b/5NP1/PPPP3P/RNBQK2R b|C35|KGA|Cunningham, bertin gambit|
rnbqk2r/ppppbppp/5n2/8/2B1Pp2/5N2/PPPP2PP/RNBQK2R w|C35|KGA|Cunningham, Euwe defense|
rnbqk1nr/ppppbppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w|C35|KGA|Cunningham defense|
rnbqkb1r/p4ppp/2p5/3n4/2B2p2/5N2/PPPP2PP/RNBQK2R w|C36|KGA|Abbazia defense, Botvinnik Variation |
rnbqkb1r/ppp2ppp/5n2/3P4/5p2/5N2/PPPP2PP/RNBQKB1R w|C36|KGA|Abbazia defense, Modern Variation |
rnbqkbnr/ppp2ppp/8/3p4/4Pp2/5N2/PPPP2PP/RNBQKB1R w|C36|KGA|Modern|
rnbqkbnr/ppp2ppp/3p4/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w|C34|KGA|Fischer's Bust|
rnbqkbnr/pppp2pp/8/5p2/4Pp2/5N2/PPPP2PP/RNBQKB1R w|C34|KGA|Gianutio counter-gambit|
rnbqk1nb/pp3p2/2pp4/4N1p1/2BPPp2/2N5/PPP3P1/R1BQK3 b|C38|KGA|Greco gambit|
rnbqk1nr/ppp2pb1/3p3p/6p1/2BPPp1P/3Q1N2/PPP3P1/RNB1K2R b|C38|KGA|Philidor gambit, Schultz Variation |
rnbqk1nr/pppp1pbp/8/6p1/2B1Pp1P/5N2/PPPP2P1/RNBQK2R b|C38|KGA|Philidor gambit|
rnbqk1nr/pppp1pbp/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQ1RK1 b|C38|KGA|Hanstein gambit|
rnbqk1nr/pppp1pbp/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R w|C38|King's knight's gambit|Muzio gambit, brentano defense|
rnbqkbnr/pppp1B1p/8/8/4Ppp1/5N2/PPPP2PP/RNBQK2R b|C37|KGA|Lolli gambit (wild Muzio gambit)|
rnb2bnr/pppp1k1p/5q2/8/4Pp2/2N1BQ2/PPP3PP/R4RK1 b|C37|KGA|Lolli gambit, Young Variation |
rnbqkbnr/pppp1p1p/8/8/2BPPpp1/5N2/PPP3PP/RNBQK2R b|C37|KGA|Ghulam Kassim gambit|
rnbqkbnr/pppp1p1p/8/8/2B1Ppp1/2N2N2/PPPP2PP/R1BQK2R b|C37|KGA|MacDonnell gambit|
rnb1kbnr/pppp1p1p/8/4N3/2B1P1pq/5p2/PPPP2PP/RNBQ1K1R w|C37|KGA|Cochrane gambit|
r1b1kbnr/pppp1p1p/2n5/4N3/2B1Pppq/8/PPPP2PP/RNBQ1K1R w|C37|KGA|Herzfeld gambit|
rnb1kb1r/ppp2p1p/3p3n/4N3/2BPPppq/8/PPP3PP/RNBQ1K1R w|C37|KGA|Salvio gambit, Anderssen counter-attack|
rnb1kb1r/pppp1p1p/7n/4N3/2BPP1pq/5p2/PPP3PP/RNBQ1K1R w|C37|KGA|Silberschmidt gambit|
rnbqkbnr/pppp1p1p/8/4N3/2B1Ppp1/8/PPPP2PP/RNBQK2R b|C37|KGA|Salvio gambit|
rnbqkbnr/ppp2p1p/8/3p4/2B1Ppp1/5N2/PPPP2PP/RNBQ1RK1 w|C37|KGA|Muzio gambit, brentano defense|
r1bqkbnr/pppp1p1p/2n5/8/2B1Pp2/5Q2/PPPP2PP/RNB2RK1 w|C37|KGA|Muzio gambit, Holloway defense|
rnb1kbnr/ppppqp1p/8/8/2B1Pp2/5Q2/PPPP2PP/RNB2RK1 w|C37|KGA|Muzio gambit, From defense|
rnb1kbnr/pppp1B1p/8/4q3/5p2/5Q2/PPPP2PP/RNB2RK1 b|C37|KGA|double Muzio gambit|
r1b1k2r/ppppnp1p/2n4b/4q3/2B2p2/2NP1Q2/PPPB2PP/4RRK1 b|C37|KGA|Muzio gambit, Paulsen Variation |
rnb1kbnr/ppppqp1p/8/8/2B1Ppp1/5N2/PPPP2PP/RNBQ1RK1 w|C37|KGA|Muzio gambit, Kling and Horwitz counter-attack|
rnbqkbnr/pppp1p1p/8/8/2B1Ppp1/5N2/PPPP2PP/RNBQ1RK1 b|C37|KGA|Muzio gambit|
r1bqkbnr/pppp1p1p/2n5/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R w|C37|KGA|blachly gambit|
rnbqkbnr/pppp1p1p/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R b|C37|KGA|King's knight's gambit|
rnbqkbnr/pppp1p1p/8/4N3/3PPpp1/8/PPP3PP/RNBQKB1R b|C37|KGA|Soerensen gambit|
rnbqkbnr/pppp1p1p/8/6p1/3PPp2/5N2/PPP3PP/RNBQKB1R b|C37|KGA|Rosentreter gambit|
rnbqk1nr/ppppbp1p/8/4N3/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, Polerio defense|
rnbqk1nr/pppp1pbp/8/4N3/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, Paulsen defense|
rnbqkb1r/ppp2p1p/8/3pN3/3PnBpP/8/PPPN2P1/R2QKB1R b|C39|KGA|Kieseritsky, brentano defense, Caro Variation |
rnbqkb1r/ppp2p1p/5n2/3pN3/3PPBpP/8/PPP3P1/RN1QKB1R b|C39|KGA|Kieseritsky, brentano defense|
rnb1k2r/ppp2p1p/5n2/3qN3/1b1P1ppP/2N5/PPP2KP1/R1BQ1B1R b|C39|KGA|Kieseritsky, brentano defense, Kaplanek Variation |
rnbqkbnr/ppp2p1p/8/3pN3/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, brentano (Campbell) defense|
rnbqkbnr/ppp2p1p/3p4/4N3/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, Kolisch defense|
rnbqk1n1/pppp1p1r/7b/4N2p/2BPPppP/2N5/PPP3P1/R1BQK2R b|C39|KGA|Kieseritsky, long whip defense, Jaenisch Variation |
rnbqkbnr/pppp1p2/8/4N2p/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, long whip (Stockwhip, Classical) defense|
r1bqkbnr/pppp1p1p/2n5/4N3/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, Neumann defense|
rnbqk2r/ppp2p1p/3b1n2/3PN3/2B2ppP/8/PPPP2P1/RNBQ1RK1 b|C39|KGA|Kieseritsky, Rice gambit|
rnbqkb1r/pppp1p1p/5n2/4N3/2B1PppP/8/PPPP2P1/RNBQK2R b|C39|KGA|Kieseritsky, berlin defense, 6.bc4|
rnbqkb1r/ppp2p1p/5n2/3p4/4PpNP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, berlin defense, Riviere Variation |
rnbqkb1r/pppp1p1p/5n2/4N3/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, berlin defense|
rnb1kbnr/ppppq2p/8/4Np2/2BPPppP/8/PPP3P1/RNBQK2R b|C39|KGA|Kieseritsky, Salvio defense, Cozio Variation |
rnb1kbnr/ppppqp1p/8/4N3/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Kieseritsky, Salvio (Rosenthal) defense|
rnbq1bnr/pppp1k2/7p/8/2B1PppP/8/PPPP2P1/RNBQK2R b|C39|KGA|Allgaier, Walker attack|
rnbq1bnr/ppp3k1/7p/3B4/3PPppP/8/PPP3P1/RNBQK2R b|C39|KGA|Allgaier, Urusov attack|
rnbq1bnr/ppp3k1/7p/4B3/2BPp1pP/8/PPP3P1/RN1QK2R b|C39|KGA|Allgaier, Cook Variation |
rnbq1bnr/pppp1k2/7p/8/3PPppP/8/PPP3P1/RNBQKB1R b|C39|KGA|Allgaier, ThorOld Variation |
rnbq1bnr/pppp1k2/7p/8/4PppP/2N5/PPPP2P1/R1BQKB1R b|C39|KGA|Allgaier, Blackburne gambit|
rnbq3r/pppp1k2/3b1n1p/8/4PQ1P/8/PPPP2P1/RNB1KB1R w|C39|KGA|Allgaier, Horny defense|
rnbqkb1r/pppp1p1p/5n2/6N1/4PppP/8/PPPP2P1/RNBQKB1R w|C39|KGA|Allgaier, Schlechter defense|
rnbqkbnr/pppp1p1p/8/6N1/4PppP/8/PPPP2P1/RNBQKB1R b|C39|KGA|Allgaier gambit|
rnbqkbnr/pppp1p1p/8/6p1/4Pp1P/5N2/PPPP2P1/RNBQKB1R b|C39|King's knight's gambit|Philidor gambit, Schultz Variation |
rnbqkbnr/pppp1p1p/8/6p1/4Pp2/2N2N2/PPPP2PP/R1BQKB1R b|C37|KGA|Quaade gambit|
rnbqkbnr/pppp1pp1/7p/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w|C34|KGA|Becker defense|
rnbqkb1r/ppppnppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w|C34|KGA|Bonsch-Osmolovsky Variation |
rnbqkb1r/pppp1ppp/5n2/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w|C34|KGA|Schallop defense|
rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b|C34|King's knight's gambit|Bishop's gambit, Jaenisch Variation |
rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPPQ1PP/RNB1KBNR b|C33|KGA|Carrera (basman) gambit|
rnbqkbnr/pppp1ppp/8/8/4Pp2/5Q2/PPPP2PP/RNB1KBNR b|C33|KGA|breyer gambit|
rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w|C33|King's gambit accepted|Falkbeer, Reti Variation |
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/8/PPPP2PP/RNBQKBNR w|C30|KGD|2...Nf6|
rnb1k1nr/pppp1ppp/8/4p3/1bB1Pq2/2N2N2/PPPP2PP/R1BQK2R b|C30|KGD|Norwalde Variation , buecker gambit|
rnb1kbnr/pppp1ppp/5q2/4p3/4PP2/8/PPPP2PP/RNBQKBNR w|C30|KGD|Norwalde Variation |
rnb1kbnr/ppppqppp/8/4p3/4PP2/6P1/PPPP3P/RNBQKBNR w|C30|KGD|Keene's defense|
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b|C30|King's gambit|Heyde Variation |
rnbqk2r/pppp1ppp/5n2/4p3/1b2P1Q1/2N5/PPPP1PPP/R1B1KBNR w|C25|Vienna|Zhuravlev countergambit|
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR b|C25|Vienna|Fyfe gambit|
r1b1kbnr/p1pp1ppp/1pn5/8/3PPp1q/2N5/PPP1K1PP/R1BQ1BNR w|C25|Vienna|Steinitz gambit, Fraser-Minckwitz Variation |
r1b1kbnr/ppp2ppp/2n5/3p4/3PPp1q/2N5/PPP1K1PP/R1BQ1BNR w|C25|Vienna|Steinitz gambit, Zukertort defense|
r1bqkbnr/pppp1ppp/2n5/8/3PPp2/2N5/PPP3PP/R1BQKBNR b|C25|Vienna|Steinitz gambit|
r1b1kbnr/pppp1p1p/5q2/4n3/2B1PQ2/2N5/PPPP2PP/R1B2RK1 w|C25|Vienna|Hamppe-Muzio, Dubois Variation |
r1bqkbnr/pppp1p1p/2n5/8/2B1Ppp1/2N2N2/PPPP2PP/R1BQ1RK1 b|C25|Vienna|Hamppe-Muzio gambit|
r2qkbnr/ppp2p1p/2P5/8/2BP1pb1/2N2p2/PPP3PP/R1BQ1RK1 b|C25|Vienna|Pierce gambit, Rushmere attack|
r1bqkbnr/pppp1p1p/2n5/6p1/3PPp2/2N2N2/PPP3PP/R1BQKB1R b|C25|Vienna|Pierce gambit|
r1bqkbnr/ppp2p1p/2np4/6N1/4PppP/2N5/PPPP2P1/R1BQKB1R w|C25|Vienna|Hamppe-Allgaier gambit, Alapin Variation |
r1bqkbnr/pppp1p1p/2n5/6N1/4PppP/2N5/PPPP2P1/R1BQKB1R b|C25|Vienna|Hamppe-Allgaier gambit|
r1bqkbnr/pppp1ppp/2n5/8/4Pp2/2N2N2/PPPP2PP/R1BQKB1R b|C25|Vienna gambit|Steinitz gambit, Fraser-Minckwitz Variation |
r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b|C25|Vienna gambit|Fyfe gambit|
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N3P1/PPPP1P1P/R1BQKBNR b|C25|Vienna|Paulsen Variation |
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w|C25|Vienna game, Max Lange defense|Zhuravlev countergambit|
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/P1N5/1PPP1PPP/R1BQKBNR b|C26|Vienna|Mengarini Variation |
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w|C28|Vienna game|Lichtenhein defense|
rnbqkb1r/ppp2ppp/8/3pp3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R w|C27|boden-Kieseritsky gambit|Lichtenhein defense|
rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R b|C27|boden-Kieseritsky gambit|Alekhine Variation |
r1bqk2r/ppppbppp/2nn4/4N2Q/8/1BN5/PPPP1PPP/R1B1K2R b|C27|Vienna|Alekhine Variation |
rnbqk2r/ppppbppp/3n4/4p2Q/8/1BN5/PPPP1PPP/R1B1K1NR w|C27|Vienna game|Adams' gambit|
r1bqkb1r/pppp1ppp/2nn4/4p2Q/3P4/1BN5/PPP2PPP/R1B1K1NR b|C27|Vienna|Adams' gambit|
N1bk1b1r/p2pq2p/1pnn2p1/3Qpp2/8/1B6/PPPP1PPP/R1B1K1NR w|C27|Vienna|Frankenstein-Dracula Variation |
rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N5/PPPP1PPP/R1BQK1NR w|C27|Vienna game|Paulsen-Mieses Variation |
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b|C26|Vienna game|Paulsen-Mieses Variation |
rnbqkb1r/ppp2ppp/5n2/3pp3/4PP2/2NP4/PPP3PP/R1BQKBNR b|C29|Vienna gambit, Steinitz Variation |Heyde Variation |
rnb1kb1r/ppp2ppp/8/3NP2q/8/3P1Nn1/PPP4P/R1BQKB1R b|C29|Vienna gambit, Wurzburger trap|Heyde Variation |
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2NP4/PPP3PP/R1BQKBNR b|C29|Vienna gambit|Heyde Variation |
rnbqk2r/ppp1bppp/8/3pP3/4n3/2N2N2/PPPP2PP/R1BQKB1R w|C29|Vienna gambit|breyer Variation |
rn1qkb1r/ppp2ppp/8/3pP3/4n1b1/2N2N2/PPPPQ1PP/R1B1KB1R b|C29|Vienna gambit|Kaufmann Variation |
rnbqkb1r/ppp3pp/8/3pPp2/3Pn3/2N2Q2/PPP3PP/R1B1KBNR b|C29|Vienna gambit|Heyde Variation |
rnbqkb1r/ppp3pp/8/3pPp2/4n3/2N2Q2/PPPP2PP/R1B1KBNR w|C29|Vienna gambit|bardeleben Variation |
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2Q2/PPPP2PP/R1B1KBNR b|C29|Vienna gambit|Paulsen attack|
rnbqkb1r/ppp2ppp/5n2/3pp3/4PP2/2N5/PPPP2PP/R1BQKBNR w|C29|Vienna gambit|Lichtenhein defense|
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N3P1/PPPP1P1P/R1BQKBNR b|C26|Vienna|Paulsen-Mieses Variation |
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w|C26|Vienna|Falkbeer Variation |
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b|C25|Vienna game|Urusov gambit, Panov Variation |
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPNPPP/RNBQKB1R b|C20|Alapin's Opening|Lopez Opening|
rnbqk1nr/ppp2ppp/3b4/3Pp3/8/5N2/PPPP1PPP/RNBQKB1R w|C40|QP counter-gambit|Maroczy gambit|
rnbqkbnr/ppp2ppp/8/3pp3/4P3/5N2/PPPP1PPP/RNBQKB1R w|C40|QP counter-gambit (elephant gambit)|Kieseritsky, Rice gambit|
rnbqk1nr/ppp1bppp/3p4/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b|C41|Philidor|Steinitz Variation |
rnbqkb1r/ppp3pN/3p3n/5p2/2BpP3/8/PPP2PPP/RNBQK2R b|C41|Philidor|Lopez counter-gambit, Jaenisch Variation |
rnbqkbnr/ppp3pp/3p4/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w|C41|Philidor|Lopez counter-gambit|
rnbqkbnr/ppp2ppp/8/3P4/3N4/8/PPP2PPP/RNBQKB1R b|C41|Philidor|Paulsen attack|
rnbqkbnr/ppp2p1p/3p2p1/8/3NP3/8/PPP2PPP/RNBQKB1R w|C41|Philidor|Larsen Variation |
r2q1rk1/pp2bppp/2npbn2/2p3B1/4P3/2N2N2/PPP1BPPP/R2QR1K1 b|C41|Philidor|berger Variation |
rnbqkb1r/ppp2ppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w|C41|Philidor|Exchange Variation |
rnbqkbnr/ppp2ppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b|C41|Philidor|Exchange Variation |
rn1qkbnr/pppb1ppp/3p4/8/3QP3/5N2/PPP2PPP/RNB1KB1R w|C41|Philidor|boden Variation |
rnbqkbnr/ppp2ppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w|C41|Philidor|Exchange Variation |
rnbqk1nr/ppp3pp/4P3/2bp2N1/4p3/2N5/PPP2PPP/R1BQKB1R b|C41|Philidor|Philidor counter-gambit, berger Variation |
rnbqkbnr/ppp3pp/4P3/3p2N1/4p3/8/PPP2PPP/RNBQKB1R b|C41|Philidor|Philidor counter-gambit, del Rio attack|
rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/2N2N2/PPP2PPP/R1BQKB1R b|C41|Philidor|Philidor counter-gambit, Zukertort Variation |
rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R w|C41|Philidor|Philidor counter-gambit|
r1bqkbnr/pp1n1ppp/2pp4/4p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b|C41|Philidor|Hanham, Delmar Variation |
r1bqkbnr/pp1n1ppp/2pp4/4p3/2BPP3/2N2N2/PPP2PPP/R1BQK2R b|C41|Philidor|Hanham, Schlechter Variation |
r1bq1rk1/pp1nbppp/2p4n/3pp1N1/2BPPP2/2P5/PP4PP/RNBQ1RK1 w|C41|Philidor|Hanham, berger Variation |
r1bqkbnr/pp1n1ppp/2pp4/4p1N1/2BPP3/8/PPP2PPP/RNBQK2R b|C41|Philidor|Hanham, Kmoch Variation |
r1bqk1nr/pp1nbppp/2pp4/4P3/2B1P3/5N2/PPP2PPP/RNBQ1RK1 b|C41|Philidor|Hanham, Steiner Variation |
r1bqkbnr/pp1n1ppp/2pp4/4p3/2BPP3/5N2/PPP2PPP/RNBQ1RK1 b|C41|Philidor|Hanham, Krause Variation |
r1bqkbnr/pppn1ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w|C41|Philidor|Hanham Variation |
rnbqkb1r/ppp2ppp/3p1n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b|C41|Philidor|Nimzovich, Klein Variation |
rnbqkb1r/ppp2ppp/3p4/4P3/4n3/5N2/PPPN1PPP/R1BQKB1R b|C41|Philidor|Nimzovich, Sokolsky Variation |
rnbqkb1r/ppp2ppp/3p4/3QP3/4n3/5N2/PPP2PPP/RNB1KB1R b|C41|Philidor|Nimzovich, Rellstab Variation |
rnbqkb1r/ppp2ppp/3p1n2/4P3/4P3/5N2/PPP2PPP/RNBQKB1R b|C41|Philidor|Nimzovich Variation |
r1bq1rk1/pppnbBpp/3p1n2/4p1N1/3PP3/2N5/PPP2PPP/R1BQK2R b|C41|Philidor|Nimzovich, Larobok Variation |
r1bq1rk1/pp1nbppp/2pp1n2/8/P1BpP3/2N2N2/1PP1QPPP/R1B2RK1 w|C41|Philidor|Nimzovich, Sozin Variation |
r1bqkb1r/pppn1ppp/3p1n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w|C41|Philidor|Improved Hanham Variation |
rnbqkb1r/ppp2ppp/3p1n2/4p1N1/3PP3/8/PPP2PPP/RNBQKB1R b|C41|Philidor|Nimzovich, Locock Variation |
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w|C41|Philidor|Nimzovich Jaenisch Variation |
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b|C41|Philidor's defense|Lopez counter-gambit |
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w|C41|Philidor's defense|corkscrew counter-gambit|
rnbqkbnr/ppp3pp/8/3pN3/2B1p3/8/PPPP1PPP/RNBQK2R w|C40|Latvian|Polerio Variation |
rnbqkb1r/pppp2pp/5n2/4N3/2B1p3/8/PPPP1PPP/RNBQK2R w|C40|Latvian|corkscrew counter-gambit|
rnb1kb1N/ppp3pp/5n2/3p4/2B1p3/8/PPPP1PqP/RNBQKR2 w|C40|Latvian|behting Variation |
rnbqkbnr/pppp2pp/8/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R b|C40|Latvian gambit, 3.bc4|Fraser defense|
r1bqkbnr/pppp2pp/2n5/4Np2/4P3/8/PPPP1PPP/RNBQKB1R w|C40|Latvian|Fraser defense|
rnb1kbnr/ppp3pp/3p1q2/8/3Pp3/4N3/PPP2PPP/RNBQKB1R b|C40|Latvian|Nimzovich Variation |
rnbqkbnr/pppp2pp/8/4pp2/4P3/5N2/PPPP1PPP/RNBQKB1R w|C40|Latvian counter-gambit|Maroczy gambit|
rnbqkbnr/pppp2pp/5p2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w|C40|Damiano's defense|Kieseritsky, Rice gambit|
r1bqk1nr/2pp1ppp/p1n5/1pb1p3/4P3/1B3N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|Graz Variation |
r1bqkbnr/2pp1ppp/p7/np2p3/4P3/1B3N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|Taimanov (chase/wing/Accelerated counterthrust) Variation |
r1bqkbnr/2pp1ppp/p1n5/1p2p3/B3P3/5N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|Caro Variation |
r1bqk1nr/1ppp1ppp/p1n5/4p3/Bb2P3/5N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|Alapin's defense deferred|
r1bqk1nr/1ppp1ppp/p1n5/2b1p3/B3P3/5N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|Classical defense deferred|
r1bqkbnr/2p3pp/p1pp1p2/4p3/3PP3/5N2/PPP2PPP/RNBQK2R w|C73|Ruy Lopez|Modern Steinitz defense, Alapin Variation |
r1bqkbnr/2p2ppp/p1pp4/4p3/3PP3/5N2/PPP2PPP/RNBQK2R b|C73|Ruy Lopez|Modern Steinitz defense, Richter Variation |
r2qkbnr/1ppb1p1p/p1np2p1/4p3/B2PP3/2P2N2/PP3PPP/RNBQK2R w|C76|Ruy Lopez|Modern Steinitz defense, Fianchetto (bronstein) Variation |
r2qkb1r/1ppbnppp/p1np4/4p3/B2PP3/2P2N2/PP3PPP/RNBQK2R w|C75|Ruy Lopez|Modern Steinitz defense, Rubinstein Variation |
r2qkbnr/1ppb1ppp/p1np4/4p3/B3P3/2P2N2/PP1P1PPP/RNBQK2R w|C75|Ruy Lopez|Modern Steinitz defense|
r2qkbnr/1pp3pp/p1np4/4pb2/B7/2P2N2/PP1P1PPP/RNBQ1RK1 b|C74|Ruy Lopez|Siesta, Kopayev Variation |
r1bqkbnr/1pp3pp/p1np4/4pp2/B3P3/2P2N2/PP1P1PPP/RNBQK2R w|C74|Ruy Lopez|Modern Steinitz defense, siesta Variation |
r1bqkbnr/1pp2ppp/p1np4/4p3/B3P3/2P2N2/PP1P1PPP/RNBQK2R b|C74|Ruy Lopez|Modern Steinitz defense|
r1bqkbnr/1pp2ppp/p1np4/4p3/B1P1P3/5N2/PP1P1PPP/RNBQK2R b|C71|Ruy Lopez|Modern Steinitz defense, Duras (Keres) Variation |
r1bqkbnr/5ppp/p2p4/1pp5/3QP3/1B6/PPP2PPP/RNB1K2R w|C71|Ruy Lopez|Noah's ark trap|
r1bqkbnr/1pp2ppp/p1np4/4p3/B3P3/2N2N2/PPPP1PPP/R1BQK2R b|C71|Ruy Lopez|Modern Steinitz defense, Three knights Variation |
r1bqkbnr/1pp2ppp/p1np4/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b|C72|Ruy Lopez|Modern Steinitz defense, 5.O-O|
r1bqkbnr/1pp2ppp/p1np4/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w|C71|Ruy Lopez|Modern Steinitz defense|
r1bqkbnr/1ppp2pp/p1n5/4pp2/B3P3/5N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|Schliemann defense deferred|
r1bqkbnr/1ppp1p1p/p1n3p1/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|Fianchetto defense deferred|
r1bqkbnr/1ppp1ppp/p7/4p3/B2nP3/5N2/PPPP1PPP/RNBQK2R w|C70|Ruy Lopez|bird's defense deferred|
r1bqkb1r/1ppp1ppp/p1B2n2/4p3/4P3/5N2/PPPP1PPP/RNBQK2R b|C77|Ruy Lopez|Treybal (bayreuth) Variation (Exchange var. deferred)|
r1bqkb1r/1pp2ppp/p1np1n2/4p3/B1P1P3/3P1N2/PP3PPP/RNBQK2R b|C77|Ruy Lopez|Morphy defense, Duras Variation |
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/3P1N2/PPP2PPP/RNBQK2R b|C77|Ruy Lopez|Anderssen Variation |
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/2N2N2/PPPP1PPP/R1BQK2R b|C77|Ruy Lopez|Four knights (Tarrá3ððð Variation |
r2qkb1r/1bpp1ppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 w|C78|Ruy Lopez|Archangelsk (counterthrust) Variation |
r1bqk2r/2ppbppp/p1n2n2/1p2p3/P3P3/1B3N2/1PPP1PPP/RNBQ1RK1 b|C78|Ruy Lopez|Wing attack|
